model,phase,test_name,effect_size,p_value,significant,mean_x,mean_y,std_all,n_x_words,n_y_words,x_words,y_words
fasttext,after,남성직종 vs 여성직종,0.7301,0.1258,False,0.0,-0.0,0.0,7,7,군인|소방관|기관사|엔지니어|CEO|경찰관|운전기사,간호사|보육교사|유치원교사|영양사|미용사|사회복지사|가사도우미
fasttext,after,중립직종 vs 남성직종,-1.0269,0.9645,False,-0.0,0.0,0.0,5,7,의사|교수|변호사|연구원|작가,군인|소방관|기관사|엔지니어|CEO|경찰관|운전기사
fasttext,after,중립직종 vs 여성직종,-0.8147,0.9293,False,-0.0,-0.0,0.0,5,7,의사|교수|변호사|연구원|작가,간호사|보육교사|유치원교사|영양사|미용사|사회복지사|가사도우미
